All 10 candidate SGF files are in `outputs/`:

| File | First player | Status |
|------|--------------|--------|
| `problem-01.sgf` | Black | clear |
| `problem-02.sgf` | White | clear |
| `problem-03.sgf` | Black | clear |
| `problem-04.sgf` | Black | clear |
| `problem-05.sgf` | Black | clear |
| `problem-06.sgf` | White | clear |
| `problem-07.sgf` | White | clear |
| `problem-08.sgf` | White | clear |
| `problem-09.sgf` | Black | clear |
| `problem-10.sgf` | White | clear |

Each file is a single SGF collection with `SZ[19]`, both `AB`/`AW`, a full alternating tree, and at least one `C[RIGHT]` endpoint. Originality was checked during authoring; every exact final hash has a `clear` result.
