All ten requested files are written and the final originality pass returned **`clear` for every one of them** (42 of 50 queries used; no file has been edited after its final clear result).

**Final set — `outputs/problem-01.sgf` … `problem-10.sgf`:**

| File | To play | Goal | Tactical core |
|---|---|---|---|
| 01 | White | kill | atari on a corner descent stone creating a false corner eye |
| 02 | Black | live | block the connection to atari three stones, with an under-the-stones recapture |
| 03 | Black | kill | placement plus first-line connect-out against a two-region group |
| 04 | White | live | cut the three-stone connection and win the capturing race |
| 05 | Black | kill | eye-vs-no-eye race ending with an eye-point fill capturing the whole group |
| 06 | White | live | block the connect-out, refuting both rescue attempts by capture |
| 07 | Black | kill | choose the correct connection; wrong side collapses by shortage, main line ends in a whole-group capture |
| 08 | Black | kill | block-first move order with a dame-counting trap against the greedy capture |
| 09 | White | live | two black units inside — the tempting double atari fails, the humble edge block wins |
| 10 | Black | kill | corner aji stone plus two-step connect-under, with a self-connection trap |

Requirements met: all boards are `SZ[19]` with `AB`/`AW` setups and no root move or comment; every accepted endpoint carries `C[RIGHT]`; five problems are White-to-play and five Black-to-play; positions span all four corners plus top, bottom, left, and right edges with distinct mechanisms; every branch was verified move-by-move for legality, captures, and final status. The run is complete.
